654,777,4778,600,298,1
915,508,5403,716,693,1
732,614,3440,524,713,1
853,816,3978,463,52,1
1238,359,3293,689,-215,1
412,90,2056,258,408,1
548,970,10669,201,724,1
387,635,9211,625,938,1
707,604,3345,330,848,1
1821,517,2359,783,925,1
738,219,1317,314,390,1
907,557,2493,146,615,1
860,998,6462,636,826,1
92,569,524,371,68,1
686,180,3253,180,122,1
803,486,4093,655,222,1
842,115,1688,402,700,1
515,323,5204,190,433,1
561,259,2581,273,-674,1
1283,90,2700,337,307,1
1286,169,4925,574,308,1
691,78,3179,270,247,1
822,247,7321,262,-223,1
885,175,2677,167,493,1
679,23,6133,174,-25,1
1157,484,1912,180,360,1
809,49,3824,786,-109,1
1812,184,498,1808,2948,0
1406,84,165,1038,1050,0
1709,340,1311,1053,4871,0
2071,74,852,1064,2611,0
1753,90,1484,2537,1671,0
1928,128,1283,733,2224,0
1647,166,1525,1296,3349,0
2111,-15,811,647,6216,0
1555,53,1031,1085,1548,0
1514,177,1024,1467,3296,0
2691,318,1826,1512,3480,0
1479.8,102.18,225.55,1178,1395.1,0
1469.6,85.1,406.91,1312.9,1163.9,0
1608.3,80.958,374.01,1045.9,1524.9,0
1588.1,87.149,857.15,1824.6,1375.9,0
1555.9,86.592,734.74,1685.5,1318.2,0
1558,96.814,490.59,949.18,1391.9,0
1812.9,77.881,585.34,1053.9,2005.1,0
1498.8,82.605,260.83,1041.6,1267.7,0
1600.3,81.079,365.7,1045.6,1506,0
1533.1,86.198,648.23,1587.2,1277.5,0
1591.2,129.61,316.87,1389.2,1915.6,0
1960.2,69.489,890.45,1068.5,2382.6,0
1606.3,79.157,924.57,1229.4,1827.5,0
1478.4,68.941,585.67,1060.8,1291.9,0
1672.3,74.919,1299.4,1945.2,1620.9,0
1548.1,54.44,990.77,1082.8,1524.9,0
